filepath,filename,actor,gender,emotion_code,emotion,intensity,statement,repetition,modality,vocal_channel,duration_sec,label_encoded
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,03-01-02-02-02-01-01.wav,1,male,2,calm,strong,2,1,audio,speech,4.204,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,03-01-02-02-02-02-01.wav,1,male,2,calm,strong,2,2,audio,speech,4.004,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,03-01-03-01-01-01-01.wav,1,male,3,happy,normal,1,1,audio,speech,3.47,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,03-01-03-01-01-02-01.wav,1,male,3,happy,normal,1,2,audio,speech,3.47,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,03-01-03-01-02-01-01.wav,1,male,3,happy,normal,2,1,audio,speech,3.537,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,03-01-03-01-02-02-01.wav,1,male,3,happy,normal,2,2,audio,speech,3.704,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,03-01-03-02-01-01-01.wav,1,male,3,happy,strong,1,1,audio,speech,3.67,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,03-01-03-02-01-02-01.wav,1,male,3,happy,strong,1,2,audio,speech,3.637,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,03-01-03-02-02-01-01.wav,1,male,3,happy,strong,2,1,audio,speech,3.937,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav,1,male,3,happy,strong,2,2,audio,speech,3.937,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,03-01-04-01-01-01-01.wav,1,male,4,sad,normal,1,1,audio,speech,3.837,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01.wav,1,male,4,sad,normal,1,2,audio,speech,3.57,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,03-01-04-01-02-01-01.wav,1,male,4,sad,normal,2,1,audio,speech,3.503,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,03-01-04-01-02-02-01.wav,1,male,4,sad,normal,2,2,audio,speech,3.37,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,03-01-04-02-01-01-01.wav,1,male,4,sad,strong,1,1,audio,speech,3.804,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,03-01-04-02-01-02-01.wav,1,male,4,sad,strong,1,2,audio,speech,3.704,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,03-01-04-02-02-01-01.wav,1,male,4,sad,strong,2,1,audio,speech,3.737,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,03-01-04-02-02-02-01.wav,1,male,4,sad,strong,2,2,audio,speech,3.737,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,03-01-05-01-01-01-01.wav,1,male,5,angry,normal,1,1,audio,speech,3.871,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,03-01-05-01-01-02-01.wav,1,male,5,angry,normal,1,2,audio,speech,3.937,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,03-01-05-01-02-01-01.wav,1,male,5,angry,normal,2,1,audio,speech,3.503,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,03-01-05-01-02-02-01.wav,1,male,5,angry,normal,2,2,audio,speech,3.737,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,03-01-05-02-01-01-01.wav,1,male,5,angry,strong,1,1,audio,speech,4.104,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,03-01-05-02-01-02-01.wav,1,male,5,angry,strong,1,2,audio,speech,4.371,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,03-01-05-02-02-01-01.wav,1,male,5,angry,strong,2,1,audio,speech,4.137,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,03-01-05-02-02-02-01.wav,1,male,5,angry,strong,2,2,audio,speech,4.438,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-01-01.wav,03-01-06-01-01-01-01.wav,1,male,6,fearful,normal,1,1,audio,speech,3.67,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-02-01.wav,03-01-06-01-01-02-01.wav,1,male,6,fearful,normal,1,2,audio,speech,3.637,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-01-01.wav,03-01-06-01-02-01-01.wav,1,male,6,fearful,normal,2,1,audio,speech,3.437,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-02-01.wav,03-01-06-01-02-02-01.wav,1,male,6,fearful,normal,2,2,audio,speech,3.704,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-01-01.wav,03-01-06-02-01-01-01.wav,1,male,6,fearful,strong,1,1,audio,speech,5.005,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,03-01-06-02-01-02-01.wav,1,male,6,fearful,strong,1,2,audio,speech,4.238,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-01-01.wav,03-01-06-02-02-01-01.wav,1,male,6,fearful,strong,2,1,audio,speech,3.971,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-02-01.wav,03-01-06-02-02-02-01.wav,1,male,6,fearful,strong,2,2,audio,speech,3.904,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-01-01.wav,03-01-07-01-01-01-01.wav,1,male,7,disgust,normal,1,1,audio,speech,3.871,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-02-01.wav,03-01-07-01-01-02-01.wav,1,male,7,disgust,normal,1,2,audio,speech,3.904,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-01-01.wav,03-01-07-01-02-01-01.wav,1,male,7,disgust,normal,2,1,audio,speech,3.904,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-02-01.wav,03-01-07-01-02-02-01.wav,1,male,7,disgust,normal,2,2,audio,speech,3.837,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-01-01.wav,03-01-07-02-01-01-01.wav,1,male,7,disgust,strong,1,1,audio,speech,4.304,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-02-01.wav,03-01-07-02-01-02-01.wav,1,male,7,disgust,strong,1,2,audio,speech,4.104,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-01-01.wav,03-01-07-02-02-01-01.wav,1,male,7,disgust,strong,2,1,audio,speech,4.037,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-02-01.wav,03-01-07-02-02-02-01.wav,1,male,7,disgust,strong,2,2,audio,speech,4.371,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-01-01.wav,03-01-08-01-01-01-01.wav,1,male,8,surprised,normal,1,1,audio,speech,3.403,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-02-01.wav,03-01-08-01-01-02-01.wav,1,male,8,surprised,normal,1,2,audio,speech,3.27,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-01-01.wav,03-01-08-01-02-01-01.wav,1,male,8,surprised,normal,2,1,audio,speech,3.537,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-02-01.wav,03-01-08-01-02-02-01.wav,1,male,8,surprised,normal,2,2,audio,speech,3.27,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-01-01.wav,03-01-08-02-01-01-01.wav,1,male,8,surprised,strong,1,1,audio,speech,3.437,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-02-01.wav,03-01-08-02-01-02-01.wav,1,male,8,surprised,strong,1,2,audio,speech,3.57,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-01-01.wav,03-01-08-02-02-01-01.wav,1,male,8,surprised,strong,2,1,audio,speech,3.503,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-02-01.wav,03-01-08-02-02-02-01.wav,1,male,8,surprised,strong,2,2,audio,speech,3.27,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-01-02.wav,03-01-01-01-01-01-02.wav,2,female,1,neutral,normal,1,1,audio,speech,3.637,0
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-02-02.wav,03-01-01-01-01-02-02.wav,2,female,1,neutral,normal,1,2,audio,speech,3.604,0
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-01-02.wav,03-01-01-01-02-01-02.wav,2,female,1,neutral,normal,2,1,audio,speech,3.77,0
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-02-02.wav,03-01-01-01-02-02-02.wav,2,female,1,neutral,normal,2,2,audio,speech,3.604,0
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-01-02.wav,03-01-02-01-01-01-02.wav,2,female,2,calm,normal,1,1,audio,speech,3.837,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-02-02.wav,03-01-02-01-01-02-02.wav,2,female,2,calm,normal,1,2,audio,speech,4.004,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-02-01-02.wav,03-01-02-01-02-01-02.wav,2,female,2,calm,normal,2,1,audio,speech,3.837,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-02-02-02.wav,03-01-02-01-02-02-02.wav,2,female,2,calm,normal,2,2,audio,speech,3.971,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-01-01-02.wav,03-01-02-02-01-01-02.wav,2,female,2,calm,strong,1,1,audio,speech,4.137,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-01-02-02.wav,03-01-02-02-01-02-02.wav,2,female,2,calm,strong,1,2,audio,speech,4.037,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-02-01-02.wav,03-01-02-02-02-01-02.wav,2,female,2,calm,strong,2,1,audio,speech,4.104,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-02-02-02.wav,03-01-02-02-02-02-02.wav,2,female,2,calm,strong,2,2,audio,speech,4.104,1
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-01-01-02.wav,03-01-03-01-01-01-02.wav,2,female,3,happy,normal,1,1,audio,speech,3.604,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-01-02-02.wav,03-01-03-01-01-02-02.wav,2,female,3,happy,normal,1,2,audio,speech,3.704,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-02-01-02.wav,03-01-03-01-02-01-02.wav,2,female,3,happy,normal,2,1,audio,speech,3.77,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-02-02-02.wav,03-01-03-01-02-02-02.wav,2,female,3,happy,normal,2,2,audio,speech,3.737,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-01-01-02.wav,03-01-03-02-01-01-02.wav,2,female,3,happy,strong,1,1,audio,speech,3.704,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-01-02-02.wav,03-01-03-02-01-02-02.wav,2,female,3,happy,strong,1,2,audio,speech,3.67,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-02-01-02.wav,03-01-03-02-02-01-02.wav,2,female,3,happy,strong,2,1,audio,speech,3.704,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-02-02-02.wav,03-01-03-02-02-02-02.wav,2,female,3,happy,strong,2,2,audio,speech,3.871,2
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-01-01-02.wav,03-01-04-01-01-01-02.wav,2,female,4,sad,normal,1,1,audio,speech,3.837,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-01-02-02.wav,03-01-04-01-01-02-02.wav,2,female,4,sad,normal,1,2,audio,speech,3.77,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-02-01-02.wav,03-01-04-01-02-01-02.wav,2,female,4,sad,normal,2,1,audio,speech,3.737,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-02-02-02.wav,03-01-04-01-02-02-02.wav,2,female,4,sad,normal,2,2,audio,speech,3.77,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-01-01-02.wav,03-01-04-02-01-01-02.wav,2,female,4,sad,strong,1,1,audio,speech,3.737,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-01-02-02.wav,03-01-04-02-01-02-02.wav,2,female,4,sad,strong,1,2,audio,speech,3.77,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-02-01-02.wav,03-01-04-02-02-01-02.wav,2,female,4,sad,strong,2,1,audio,speech,3.704,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-02-02-02.wav,03-01-04-02-02-02-02.wav,2,female,4,sad,strong,2,2,audio,speech,3.67,3
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-01-01-02.wav,03-01-05-01-01-01-02.wav,2,female,5,angry,normal,1,1,audio,speech,3.67,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-01-02-02.wav,03-01-05-01-01-02-02.wav,2,female,5,angry,normal,1,2,audio,speech,3.67,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-02-01-02.wav,03-01-05-01-02-01-02.wav,2,female,5,angry,normal,2,1,audio,speech,3.77,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-02-02-02.wav,03-01-05-01-02-02-02.wav,2,female,5,angry,normal,2,2,audio,speech,3.804,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-01-01-02.wav,03-01-05-02-01-01-02.wav,2,female,5,angry,strong,1,1,audio,speech,3.904,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-01-02-02.wav,03-01-05-02-01-02-02.wav,2,female,5,angry,strong,1,2,audio,speech,4.004,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-02-01-02.wav,03-01-05-02-02-01-02.wav,2,female,5,angry,strong,2,1,audio,speech,4.004,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-02-02-02.wav,03-01-05-02-02-02-02.wav,2,female,5,angry,strong,2,2,audio,speech,4.004,4
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-01-01-02.wav,03-01-06-01-01-01-02.wav,2,female,6,fearful,normal,1,1,audio,speech,3.637,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-01-02-02.wav,03-01-06-01-01-02-02.wav,2,female,6,fearful,normal,1,2,audio,speech,3.737,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-02-01-02.wav,03-01-06-01-02-01-02.wav,2,female,6,fearful,normal,2,1,audio,speech,3.67,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-02-02-02.wav,03-01-06-01-02-02-02.wav,2,female,6,fearful,normal,2,2,audio,speech,3.737,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-01-01-02.wav,03-01-06-02-01-01-02.wav,2,female,6,fearful,strong,1,1,audio,speech,3.804,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-01-02-02.wav,03-01-06-02-01-02-02.wav,2,female,6,fearful,strong,1,2,audio,speech,3.637,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-02-01-02.wav,03-01-06-02-02-01-02.wav,2,female,6,fearful,strong,2,1,audio,speech,3.604,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-02-02-02.wav,03-01-06-02-02-02-02.wav,2,female,6,fearful,strong,2,2,audio,speech,3.604,5
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-01-01-02.wav,03-01-07-01-01-01-02.wav,2,female,7,disgust,normal,1,1,audio,speech,3.67,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-01-02-02.wav,03-01-07-01-01-02-02.wav,2,female,7,disgust,normal,1,2,audio,speech,3.637,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-02-01-02.wav,03-01-07-01-02-01-02.wav,2,female,7,disgust,normal,2,1,audio,speech,3.871,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-02-02-02.wav,03-01-07-01-02-02-02.wav,2,female,7,disgust,normal,2,2,audio,speech,3.837,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-01-01-02.wav,03-01-07-02-01-01-02.wav,2,female,7,disgust,strong,1,1,audio,speech,4.137,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-01-02-02.wav,03-01-07-02-01-02-02.wav,2,female,7,disgust,strong,1,2,audio,speech,4.137,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-02-01-02.wav,03-01-07-02-02-01-02.wav,2,female,7,disgust,strong,2,1,audio,speech,4.004,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-02-02-02.wav,03-01-07-02-02-02-02.wav,2,female,7,disgust,strong,2,2,audio,speech,4.037,6
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-01-01-02.wav,03-01-08-01-01-01-02.wav,2,female,8,surprised,normal,1,1,audio,speech,3.537,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-01-02-02.wav,03-01-08-01-01-02-02.wav,2,female,8,surprised,normal,1,2,audio,speech,3.537,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-02-01-02.wav,03-01-08-01-02-01-02.wav,2,female,8,surprised,normal,2,1,audio,speech,3.604,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-02-02-02.wav,03-01-08-01-02-02-02.wav,2,female,8,surprised,normal,2,2,audio,speech,3.537,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-01-01-02.wav,03-01-08-02-01-01-02.wav,2,female,8,surprised,strong,1,1,audio,speech,3.737,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-01-02-02.wav,03-01-08-02-01-02-02.wav,2,female,8,surprised,strong,1,2,audio,speech,3.77,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-02-01-02.wav,03-01-08-02-02-01-02.wav,2,female,8,surprised,strong,2,1,audio,speech,3.737,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-02-02-02.wav,03-01-08-02-02-02-02.wav,2,female,8,surprised,strong,2,2,audio,speech,3.804,7
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-01-01-03.wav,03-01-01-01-01-01-03.wav,3,male,1,neutral,normal,1,1,audio,speech,3.437,0
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-01-02-03.wav,03-01-01-01-01-02-03.wav,3,male,1,neutral,normal,1,2,audio,speech,3.503,0
C:\Speech Emotion Recognition\notebooks\..\data\Raw\Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-02-01-03.wav,03-01-01-01-02-01-03.wav,3,male,1,neutral,normal,2,1,audio,speech,3.503,0
